name,website,phone,categories,state,moved
S W Pool Service,http://swpoolservice.localsearch.com,(520) 264-8585,"Swimming Pool Repair & Service, Swimming Pool Management, Swimming Pool Dealers",AZ,False
All Valley Pool Repairs Inc.,http://allvalleypoolrepairsinc.localsearch.com,(602) 432-6554,"Swimming Pool Repair & Service, Swimming Pool Management, Building Specialties",AZ,False
Johnson Pools LLC,http://johnsonpoolsllcaz.localsearch.com,(480) 463-0540,"Swimming Pool Repair & Service, Swimming Pool Management, Swimming Pool Dealers",AZ,False
Translucent Pools,http://translucentpools.localsearch.com,(480) 809-7344,"Swimming Pool Repair & Service, Swimming Pool Management, Swimming Pool Dealers",AZ,False
Knoble House Pool & Property Service,N/A,(602) 904-1611,"Swimming Pool Repair & Service, Swimming Pool Management, Pool Halls",AZ,False
Peoria Electric Motor & Pool Service,http://peoriaelectricmotorpoolservice.localsearch.com,(623) 878-8018,"Swimming Pool Repair & Service, Swimming Pool Management, Swimming Pool Dealers",AZ,False
IceBerg Pools,http://icebergpools.localsearch.com,(480) 502-7505,"Swimming Pool Repair & Service, Swimming Pool Management, Swimming Pool Equipment & Supplies",AZ,False
Somertime Pool Repair,http://www.somertimepoolrepair.com,(602) 292-1838,"Swimming Pool Repair & Service, Swimming Pool Management, Swimming Pool Equipment & Supplies",AZ,False
928 POOL SERVICE,http://pool-service-lake-havasu.com,(928) 230-1733,"Swimming Pool Repair & Service, Swimming Pool Management, Private Swimming Pools",AZ,False
affordable pool service,http://affordablepoolserviceaz.localsearch.com,(520) 551-1697,"Swimming Pool Repair & Service, Swimming Pool Management, Swimming Pool Equipment & Supplies",AZ,False
Desert Diamond Pool Service,http://www.desertdiamondpools.net,(623) 271-5956,"Swimming Pool Repair & Service, Swimming Pool Management, Swimming Pool Equipment & Supplies",AZ,False
E-Konomy Pool Service & Supplies,http://www.e-konomy.com,(520) 325-6427,"Swimming Pool Repair & Service, Swimming Pool Management, Spas & Hot Tubs",AZ,False
Beach Bum Pool Services,http://beachbumpoolservices.localsearch.com,(480) 300-9761,"Swimming Pool Repair & Service, Swimming Pool Management, Swimming Pool Equipment & Supplies",AZ,False
AZ Native Pool Care,http://aznativepoolcare.localsearch.com,(602) 456-1533,"Swimming Pool Repair & Service, Swimming Pool Management, Private Swimming Pools",AZ,False
Pool Services Tucson,http://poolservicestucson.localsearch.com,(520) 704-0991,"Swimming Pool Repair & Service, Swimming Pool Management, Swimming Pool Covers & Enclosures",AZ,False
Aqua Sol Pool Service,http://aquasolpoolservice.localsearch.com,(602) 455-8909,"Swimming Pool Repair & Service, Swimming Pool Management, Swimming Pool Equipment & Supplies-Wholesale & Manufacturers",AZ,False
Desert Pool Tech LLC,http://www.desertpooltech.com,(480) 658-3277,"Swimming Pool Repair & Service, Swimming Pool Management, Private Swimming Pools",AZ,False
Sparkling Blue Pools,http://sparklingbluepoolsaz.localsearch.com,(480) 409-5623,"Swimming Pool Repair & Service, Swimming Pool Management, Private Swimming Pools",AZ,False
