name,website,phone,categories,state,moved
Aqua Clear Pool Service,http://aquaclearpoolservice220954.localsearch.com,(707) 448-9200,"Swimming Pool Repair & Service, Swimming Pool Management, Filter Cleaning",CA,False
David Pool Service,https://davidpoolservices.com,(209) 388-0249,"Swimming Pool Repair & Service, Swimming Pool Management, Swimming Pool Equipment & Supplies",CA,False
Linden's Pool Service,http://www.lindenspoolservice.com,(707) 217-3533,"Swimming Pool Repair & Service, Swimming Pool Management, Filter Cleaning",CA,False
Sierra Pool Service,http://sierrapoolservice475499997.localsearch.com,(530) 903-8566,"Swimming Pool Repair & Service, Swimming Pool Management, Spas & Hot Tubs-Repair & Service",CA,False
Clean Pools of Walnut Creek,http://cleanpoolsofwalnutcreek.localsearch.com,(925) 275-5696,"Swimming Pool Repair & Service, Swimming Pool Management, Spas & Hot Tubs-Repair & Service",CA,False
Nelson Pool & Spa,http://nelsonpoolandspa.com/,(707) 337-9432,"Swimming Pool Repair & Service, Swimming Pool Management, Swimming Pool Designing & Consulting",CA,False
Coral Pool & Spa,http://www.coralpoolandspa.com,(408) 294-7665,"Swimming Pool Repair & Service, Swimming Pool Management, Swimming Pool Dealers",CA,False
A & B Pool Maintenence,http://www.a-bpools.com,(408) 265-5521,"Swimming Pool Repair & Service, Swimming Pool Management, Spas & Hot Tubs-Repair & Service",CA,False
A & J Pool Service,http://ajpoolserviceca.localsearch.com,(209) 609-0987,"Swimming Pool Repair & Service, Swimming Pool Management, Swimming Pool Dealers",CA,False
TrueBlue Poolcare,http://truebluepoolcareca.localsearch.com,(909) 450-6737,"Swimming Pool Repair & Service, Swimming Pool Management, Swimming Pool Dealers",CA,False
All About Pools,http://www.allaboutpoolssimi.com,(805) 526-5006,"Swimming Pool Repair & Service, Swimming Pool Management, Swimming Pool Dealers",CA,False
Aloha Pool & Spa,N/A,(831) 647-8680,"Swimming Pool Repair & Service, Swimming Pool Management, Swimming Pool Equipment & Supplies",CA,False
Crystal Clear Pool Service,https://fresnopoolcleaningcompany.com,(559) 588-4222,"Swimming Pool Repair & Service, Swimming Pool Management, Swimming Pool Equipment & Supplies",CA,False
The Chlorine Factory,http://www.thechlorinefactory.com,(559) 636-2030,"Swimming Pool Repair & Service, Swimming Pool Management, Chlorinators",CA,False
Crystal Clear Pool Service,http://www.fresnopoolcleaningcompany.com,(559) 588-4222,"Swimming Pool Repair & Service, Swimming Pool Management, Swimming Pool Dealers",CA,False
Pearson Pool Company,http://www.pearsonpools.com,(209) 632-6682,"Swimming Pool Repair & Service, Swimming Pool Management, Swimming Pool Equipment & Supplies",CA,False
AAAction Pool Cleaning Service,http://aaactionpoolcleaningservice.localsearch.com,(209) 640-6604,"Swimming Pool Repair & Service, Swimming Pool Management",CA,False
David's Pool Service,http://davidspoolserviceca.localsearch.com,(559) 759-4710,"Swimming Pool Repair & Service, Swimming Pool Management, Property Maintenance",CA,False
JNS Pools Service & Repair,http://jnspoolsservicerepair482033315.localsearch.com,(626) 840-3545,"Swimming Pool Repair & Service, Swimming Pool Management, Filter Cleaning",CA,False
Pool Tile Restoration,http://pooltilerestorationca.localsearch.com,(626) 487-0234,"Swimming Pool Repair & Service, Swimming Pool Management, Tile-Cleaning, Refinishing & Sealing",CA,False
1 Clean Pool,http://1cleanpoolca.localsearch.com,(916) 436-6017,"Swimming Pool Repair & Service, Swimming Pool Management",CA,False
Crystal Blue Pool Care,http://crystalbluepoolcareca.localsearch.com,(760) 792-6263,"Swimming Pool Repair & Service, Swimming Pool Management, Filter Cleaning",CA,False
JB's Pool Services,http://jbspoolservices.localsearch.com,(951) 237-8464,"Swimming Pool Repair & Service, Swimming Pool Management, Filter Cleaning",CA,False
Cal-pools,http://calpools.localsearch.com,(209) 535-9941,"Swimming Pool Repair & Service, Swimming Pool Management, Tile-Cleaning, Refinishing & Sealing",CA,False
Chem Kings Pools & Spas Service,https://www.sacchemkings.com,(916) 893-6280,"Swimming Pool Repair & Service, Swimming Pool Management, Spas & Hot Tubs-Repair & Service",CA,False
