name,website,phone,categories,state,moved
Paul's Pool Service,http://paulspoolservice496309997.localsearch.com,(413) 668-8034,"Swimming Pool Repair & Service, Swimming Pool Management, Swimming Pool Dealers",MA,False
Oceanside Pools,http://www.oceansidepools.com,(774) 237-7045,"Swimming Pool Repair & Service, Swimming Pool Management, Swimming Pool Equipment & Supplies",MA,False
Expert Pool Service Inc.,http://www.expertpoolserviceinc.com,(978) 468-1479,"Swimming Pool Repair & Service, Swimming Pool Management, Swimming Pool Equipment & Supplies",MA,False
Sweet Water Pool Service and Supply Inc.,http://www.sweetwaterpoolserviceinc.com,(617) 969-7665,"Swimming Pool Repair & Service, Swimming Pool Management, Spas & Hot Tubs-Repair & Service",MA,False
Berkshire Pool and Spa,http://berkshirepoolandspa.localsearch.com,(413) 346-7060,"Swimming Pool Repair & Service, Swimming Pool Management, Swimming Instruction",MA,False
True Blue Waters,http://www.truebluewaters.com,(774) 345-9133,"Swimming Pool Repair & Service, Swimming Pool Management, Spas & Hot Tubs-Repair & Service",MA,False
Pool Runnings,http://poolrunnings.org/opening.html,(508) 815-7947,"Swimming Pool Repair & Service, Swimming Pool Management, Swimming Pool Equipment & Supplies",MA,False
Pool People Inc,http://poolpeopleonline.com,(781) 771-5284,"Swimming Pool Repair & Service, Swimming Pool Management, Swimming Pool Covers & Enclosures",MA,False
Aquaknot Pools Inc,http://www.aquaknotpools.com,(781) 534-6410,"Swimming Pool Repair & Service, Swimming Pool Equipment & Supplies, Swimming Pool Dealers",MA,False
AquaKnot Pools,http://www.aquaknotpools.com,(781) 534-6442,"Swimming Pool Repair & Service, Spas & Hot Tubs, Swimming Pool Construction",MA,False
Aquaman Pool & Spa,http://www.aquamanpoolandspa.com,(978) 264-2018,"Swimming Pool Repair & Service, Swimming Pool Equipment & Supplies, Water Treatment Equipment-Service & Supplies",MA,False
Pool Masters,http://poolmasters.localsearch.com,(978) 380-4873,"Swimming Pool Repair & Service, Swimming Pool Dealers, Leak Detecting Service",MA,False
Surfside Pool Company,http://www.surfsidepoolcompany.com,(978) 342-7362,"Swimming Pool Repair & Service, Swimming Pool Dealers, Spas & Hot Tubs",MA,False
Rogers Pool Patio  Toy Co. Inc.,http://rogerspools.com,(978) 454-5517,"Swimming Pool Repair & Service, Swimming Pool Dealers, Swimming Pool Designing & Consulting",MA,False
Hincman Pool & Spa,http://hincman-pool-spa.hub.biz,(978) 745-2151,"Swimming Pool Repair & Service, Swimming Pool Equipment & Supplies, Swimming Pool Dealers",MA,False
Central Pools,http://www.centralpoolsandspas.com,(508) 879-6660,"Swimming Pool Repair & Service, Swimming Pool Equipment & Supplies, General Contractors",MA,False
Tom Gaudet Construction Inc,http://www.mypoolman.net,(774) 203-3430,"Swimming Pool Repair & Service, Swimming Pool Dealers, General Contractors",MA,False
Leslie's Pool Supplies,https://lesliespool.com/location/hanover-massachusetts-hanover-343.html,(781) 829-6877,"Swimming Pool Repair & Service, Swimming Pool Equipment & Supplies, Swimming Pool Dealers",MA,False
Leslie's Pool Supplies,https://lesliespool.com/location/springfield-massachusetts-haymarket-square-plaza-291.html,(413) 543-0765,"Swimming Pool Repair & Service, Swimming Pool Equipment & Supplies, Swimming Pool Dealers",MA,False
