name,website,phone,categories,state,moved
Town & Country Swimming Pools,http://townandcountryswimmingpools.com,(908) 859-0238,"Swimming Pool Repair & Service, Swimming Pool Management, Swimming Pool Dealers",NJ,False
Cadillac Pools,http://www.cadillacpools.com,(732) 295-7946,"Swimming Pool Repair & Service, Swimming Pool Management, Swimming Pool Dealers",NJ,False
Elegant Pool & Patio Inc,http://www.elegantpoolandpatio.com,(845) 300-7053,"Swimming Pool Repair & Service, Swimming Pool Management, Swimming Pool Dealers",NJ,False
Just Pools LLC,http://www.justpools.us,(609) 451-0090,"Swimming Pool Repair & Service, Swimming Pool Management, Swimming Pool Designing & Consulting",NJ,False
All American Pool Service,http://www.allamericanpoolservice.net,(973) 764-7775,"Swimming Pool Repair & Service, Swimming Pool Management, Swimming Pool Equipment & Supplies",NJ,False
Vanguard Pools,http://vanguardpools.localsearch.com,(609) 670-3972,"Swimming Pool Repair & Service, Swimming Pool Management, Swimming Pool Covers & Enclosures",NJ,False
Majestic Pools and Spas,http://majesticpoolsnj.wix.com/majesticpools,(908) 803-1093,"Swimming Pool Repair & Service, Swimming Pool Management, Swimming Pool Equipment & Supplies",NJ,False
A B S Pool Patrol,http://abspoolpatrol.localsearch.com,(732) 279-9061,"Swimming Pool Repair & Service, Swimming Pool Management, Swimming Pool Covers & Enclosures",NJ,False
Central Jersey Pool Management,http://centraljerseypoolmanagement.com,(908) 505-5070,"Swimming Pool Repair & Service, Swimming Pool Management, CPR Information & Services",NJ,False
"Universal Pool Maintenance & Services, Inc.",http://universalpoolmaintenanceservicesinc.localsearch.com,(201) 857-4957,"Swimming Pool Repair & Service, Swimming Pool Management, Swimming Pool Equipment & Supplies",NJ,False
NJ Pool Service Pros,http://www.njpoolservicepros.com,(973) 813-7663,"Swimming Pool Repair & Service, Swimming Pool Management, Swimming Pool Construction",NJ,False
The Pool House,https://www.poolhouzz.com,(732) 598-1355,"Swimming Pool Repair & Service, Swimming Pool Management, Swimming Pool Designing & Consulting",NJ,False
Kurt Custom Pools,https://www.kurtcustompools.com,(973) 957-7070,"Swimming Pool Repair & Service, Swimming Pool Management, Swimming Pool Designing & Consulting",NJ,False
