name,website,phone,categories,state,moved
Hole In One Pools,http://holeinonepools.localsearch.com,(631) 375-6954,"Swimming Pool Repair & Service, Swimming Pool Management, Swimming Pool Dealers",NY,False
Seth's Pools,http://sethspools.localsearch.com,(516) 559-7272,"Swimming Pool Repair & Service, Swimming Pool Management, Swimming Pool Dealers",NY,False
Nagy Pool & Spa,http://www.facebook.com/nagypoolandspa,(315) 542-2423,"Swimming Pool Repair & Service, Swimming Pool Management, Swimming Pool Dealers",NY,False
"The Handy Family, Inc",https://www.thehandyfamilyinc.com,(585) 269-4525,"Swimming Pool Repair & Service, Swimming Pool Management, Building Cleaners-Interior",NY,False
Crystal Clear Pools,http://www.mycrystalclearpools.com,(845) 621-2798,"Swimming Pool Repair & Service, Swimming Pool Management, Swimming Pool Dealers",NY,False
Caribbean Clear Of Long Island,http://caribbeanclearli.com,(516) 802-9577,"Swimming Pool Repair & Service, Swimming Pool Management, Swimming Pool Equipment & Supplies",NY,False
ASAP Pools,http://asappoolsny.localsearch.com,(631) 413-4863,"Swimming Pool Repair & Service, Swimming Pool Management, Home Improvements",NY,False
Central New York Pool Service,http://centralnewyorkpoolservice.localsearch.com,(315) 252-6295,"Swimming Pool Repair & Service, Swimming Pool Management, Swimming Pool Covers & Enclosures",NY,False
Cousins Pool Service,https://twitter.com/CousinsPoolNY,(516) 986-7665,"Swimming Pool Repair & Service, Swimming Pool Management, Swimming Pool Covers & Enclosures",NY,False
"B&C Aqua Clear Pool Cleaning & Maintenance, LLC",http://bcaquaclearpoolcleaningmaintenancellc.localsearch.com,(516) 425-8900,"Swimming Pool Repair & Service, Swimming Pool Dealers, Swimming Pool Equipment & Supplies",NY,False
AQUA Pool Management Repair & Chemical Corp,http://www.aquamanagementco.com,(718) 356-5748,"Swimming Pool Repair & Service, Swimming Pool Management, Building Contractors",NY,False
Suffolk Dependable Pool Care,http://suffolkdependablepoolcareny.localsearch.com,(631) 714-5658,"Swimming Pool Repair & Service, Swimming Pool Management, Spas & Hot Tubs-Repair & Service",NY,False
Picture Perfect Pools,N/A,(315) 724-7042,"Swimming Pool Repair & Service, Swimming Pool Management, Swimming Pool Designing & Consulting",NY,False
Ultimate Pool Care,http://ultimatepoolcareny.localsearch.com,(716) 783-2050,"Swimming Pool Repair & Service, Swimming Pool Management",NY,False
Donadio Pools,http://donadiopools.localsearch.com,(631) 790-2269,"Swimming Pool Repair & Service, Swimming Pool Management",NY,False
DJ Aquatic Solutions,http://djaquaticsolutions.localsearch.com,(347) 297-7154,"Swimming Pool Repair & Service, Swimming Pool Management, Swimming Instruction",NY,False
Stonecrop Hardscape & Horticultural Services,https://stonecropnh.com,(518) 848-7567,"Swimming Pool Repair & Service, Swimming Pool Management, Swimming Pool Construction",NY,False
Platinum Pool Service Inc.,http://platinumpoolserviceinc.localsearch.com,(631) 885-2936,"Swimming Pool Repair & Service, Swimming Pool Management, Private Swimming Pools",NY,False
AA Property Services,http://www.aapropertyservice.com,(845) 328-4978,"Swimming Pool Repair & Service, Swimming Pool Management, Swimming Pool Construction",NY,False
Long Island Marble Dusting,http://longislanddust.com,(631) 923-3332,"Swimming Pool Repair & Service, Marble & Terrazzo Cleaning & Service, Swimming Pool Equipment & Supplies",NY,False
Clean & Clear Swimming Pool Service,http://www.cleanandclearpoolserv.com,(845) 267-8531,"Swimming Pool Repair & Service, Swimming Pool Construction, Swimming Pool Designing & Consulting",NY,False
Keiths Clean Water Pool Service,http://keithscleanwaterpoolserviceny.localsearch.com,(631) 724-9293,"Swimming Pool Repair & Service, Swimming Pool Equipment & Supplies, Sauna Equipment & Supplies",NY,False
"Aquaquality Pools & Spas, Inc",https://www.aquaqualitypools.com,(516) 876-8643,"Swimming Pool Repair & Service, Swimming Pool Equipment & Supplies, Swimming Pool Dealers",NY,False
Leslie's Pool Supplies,https://lesliespool.com/location/shirley-newyork-shirley-588.html,(631) 281-3059,"Swimming Pool Repair & Service, Swimming Pool Equipment & Supplies, Swimming Pool Dealers",NY,False
Ang Pallaria Sales & Svce,http://angpallariasalessvce.localsearch.com,(315) 733-9222,"Swimming Pool Repair & Service, Swimming Pool Equipment & Supplies, Swimming Pool Dealers",NY,False
Leslie's Pool Supplies,https://lesliespool.com/location/wappingers-falls-newyork-poughkeepsie-111.html,(845) 298-0583,"Swimming Pool Repair & Service, Swimming Pool Equipment & Supplies, Swimming Pool Dealers",NY,False
"Adirondack Pools & Spas, Inc.",http://www.adirondackpools.com,(518) 798-5552,"Swimming Pool Repair & Service, Spas & Hot Tubs, Swimming Pool Equipment & Supplies",NY,False
Royal Pools & Spas,http://www.royalpoolsandspas.com,(845) 565-7665,"Swimming Pool Repair & Service, Swimming Pool Dealers, Spas & Hot Tubs-Repair & Service",NY,False
Rafael Pool Service,http://www.rafaelspools.com,(718) 816-7622,"Swimming Pool Repair & Service, Swimming Pool Equipment & Supplies, Swimming Pool Construction",NY,False
Saraceni Pools & Spas,https://saracenipools.com,(716) 283-8708,"Swimming Pool Repair & Service, Swimming Pool Construction, Swimming Pool Dealers",NY,False
Cannon Pools,http://www.cannonpools.com,(315) 598-3311,"Swimming Pool Repair & Service, Swimming Pool Equipment & Supplies, Swimming Pool Dealers",NY,False
Leslie's Pool Supplies,https://lesliespool.com/location/commack-newyork-commack-63.html,(631) 462-4471,"Swimming Pool Repair & Service, Swimming Pool Equipment & Supplies, Swimming Pool Dealers",NY,False
Irwin's Swimming Pools & Spas Inc,http://irwinsswimmingpoolsspasinc.localsearch.com,(631) 696-5800,"Swimming Pool Repair & Service, Swimming Pool Equipment & Supplies, Swimming Pool Dealers",NY,False
Montalbano's Pool & Spa-Dongan Hills,http://www.montalbanospools-spas.com,(718) 667-7676,"Swimming Pool Repair & Service, Swimming Pool Construction, Swimming Pool Equipment & Supplies",NY,False
Leslie's Pool Supplies,https://lesliespool.com/location/east-islip-newyork-east-islip-589.html,(631) 277-3984,"Swimming Pool Repair & Service, Swimming Pool Equipment & Supplies, Swimming Pool Dealers",NY,False
Liverpool Pool & Spa Hot Tub Super Center,http://www.liverpoolpoolandspa.com,(315) 414-0741,"Swimming Pool Repair & Service, Spas & Hot Tubs, Swimming Pool Equipment & Supplies",NY,False
Royal Pools & Spas,http://www.royalpoolsandspas.com,(845) 374-3969,"Swimming Pool Repair & Service, Swimming Pool Dealers, Spas & Hot Tubs-Repair & Service",NY,False
Best Quality Pools,http://www.bestqualitypools.info,(718) 339-0788,"Swimming Pool Repair & Service, Swimming Pool Dealers, Swimming Pool Covers & Enclosures",NY,False
PH Pool & Spa Service,N/A,(585) 624-9870,"Swimming Pool Repair & Service, Spas & Hot Tubs, Swimming Pool Dealers",NY,False
North Eastern Pool & Spa,https://www.385swim.com,(708) 252-6979,"Swimming Pool Repair & Service, Spas & Hot Tubs, Swimming Pool Equipment & Supplies",NY,False
Ace Swim & Leisure,http://aceswim1.rtrk.com/?scid=3504267,(585) 889-9624,"Swimming Pool Repair & Service, Swimming Pool Equipment & Supplies, Billiard Equipment & Supplies",NY,False
Kazdin Pools Inc,http://www.kazdin.com,(631) 283-4884,"Swimming Pool Repair & Service, Swimming Pool Equipment & Supplies, Spas & Hot Tubs-Repair & Service",NY,False
Leslie's Pool Supplies,https://lesliespool.com/location/port-jefferson-stati-newyork-port-jefferson-station-ny-414.html,(631) 642-1836,"Swimming Pool Repair & Service, Swimming Pool Equipment & Supplies, Swimming Pool Dealers",NY,False
LDL Pools,http://ldlpools.localsearch.com,(585) 352-3322,"Swimming Pool Repair & Service, Swimming Pool Dealers, Swimming Pool Designing & Consulting",NY,False
The Pool Doctor Contractors Inc,http://www.pooldoctorsi.com,(718) 984-7665,"Swimming Pool Repair & Service, Swimming Pool Dealers, Swimming Pool Equipment & Supplies",NY,False
Long Island Swim Pool Services,http://www.longislandswim.com,(516) 766-2480,"Swimming Pool Repair & Service, Swimming Pool Dealers, Swimming Pool Equipment & Supplies",NY,False
Leslie's Pool Supplies,https://lesliespool.com/location/smithtown-newyork-smithtown-621.html,(631) 724-0569,"Swimming Pool Repair & Service, Swimming Pool Equipment & Supplies, Swimming Pool Dealers",NY,False
"Sky Blue Pools, LLC",http://skybluepools.net,(631) 586-2135,"Swimming Pool Repair & Service, Swimming Pool Dealers, Swimming Pool Covers & Enclosures",NY,False
marks pools & service,http://markspoolsservice.localsearch.com,(518) 879-3813,"Swimming Pool Repair & Service, Swimming Pool Dealers, Swimming Pool Covers & Enclosures",NY,False
Pool & Spa Rx,http://www.poolandsparx.com,(518) 441-4782,"Swimming Pool Repair & Service, Swimming Pool Dealers, Spas & Hot Tubs-Repair & Service",NY,False
Rome Pool & Spas,http://www.romepoolandspas.com,(315) 336-6900,"Swimming Pool Repair & Service, Swimming Pool Construction, Swimming Pool Dealers",NY,False
Glen Brandsema,http://glenbrandsemany.localsearch.com,(631) 675-0737,"Swimming Pool Repair & Service, Swimming Pool Equipment & Supplies, Sauna Equipment & Supplies",NY,False
Crystal Pools,http://crystalpoolsny.localsearch.com,(845) 782-0303,"Swimming Pool Repair & Service, Swimming Pool Dealers, Swimming Pool Construction",NY,False
Majestic Pools Inc,http://www.majesticpools.com,(716) 684-8526,"Swimming Pool Repair & Service, Swimming Pool Equipment & Supplies, Spas & Hot Tubs",NY,False
Leslie's Pool Supplies,https://lesliespool.com/location/buffalo-newyork-amherst-45.html,(716) 838-1431,"Swimming Pool Repair & Service, Swimming Pool Equipment & Supplies, Swimming Pool Dealers",NY,False
Dizzy Deans Pool & Spa,http://www.dizzydeanspools.com,(718) 792-3305,"Swimming Pool Repair & Service, Swimming Pool Equipment & Supplies, Swimming Pool Dealers",NY,False
Pools Unlimited,http://poolsunlimitedny.localsearch.com,(716) 677-4100,"Swimming Pool Repair & Service, Swimming Pool Dealers, Spas & Hot Tubs",NY,False
Pristine Pools,http://pristinepools.localsearch.com,(631) 206-0704,"Swimming Pool Repair & Service, Sauna Equipment & Supplies, Swimming Pool Dealers",NY,False
Cannon Pools and Spas,http://www.cannonpools.com,(315) 458-3150,"Swimming Pool Repair & Service, Swimming Pool Dealers, Spas & Hot Tubs",NY,False
Galati Pools & Spas - A BioGuard Platinum Dealer,http://www.galatipools.com,(845) 564-0555,"Swimming Pool Repair & Service, Spas & Hot Tubs, Spas & Hot Tubs-Repair & Service",NY,False
