name,website,phone,categories,state,moved
Hasting Water Works,http://www.hastingswaterworks.com,(614) 888-3200,"Swimming Pool Repair & Service, Swimming Pool Management, Swimming Pool Dealers",OH,False
Central Ohio Pool Service,http://www.centralohiopoolservice.com,(614) 929-5567,"Swimming Pool Repair & Service, Swimming Pool Management, Swimming Pool Dealers",OH,False
Blue Dolphin Pools & Spas LLC,http://bluedolphinpoolsspasllc.localsearch.com,(330) 856-3491,"Swimming Pool Repair & Service, Swimming Pool Management, Swimming Pool Equipment & Supplies",OH,False
Jack's Pools & Spas,http://www.jackspools.com,(440) 428-6032,"Swimming Pool Repair & Service, Swimming Pool Management, Swimming Pool Construction",OH,False
Metropolitan Pools,http://bioguard.com,(440) 985-1500,"Swimming Pool Repair & Service, Swimming Pool Management, Swimming Pool Equipment & Supplies",OH,False
Bigs Pools LLC,http://bigspoolsllc.localsearch.com,(440) 463-3127,"Swimming Pool Repair & Service, Swimming Pool Management, Spas & Hot Tubs-Repair & Service",OH,False
The Pool Guy,http://www.thepoolguypro.com,(419) 544-2881,"Swimming Pool Repair & Service, Swimming Pool Management, Swimming Pool Equipment & Supplies",OH,False
Rhiel Supply,http://www.rhiel.com,(330) 799-2451,"Swimming Pool Repair & Service, Billiard Equipment & Supplies, Janitorial Service",OH,False
Carriage Gate Clubhouse,http://yellowpages.com/maineville-oh/mip/carriage-gate-clubhouse-4701106,(513) 229-0494,"Swimming Pool Repair & Service, Swimming Pool Management",OH,False
Metro Pools,https://metropools.com/cleveland-pool-service-akron-pool-management/contact,(216) 741-9451,"Swimming Pool Repair & Service, Swimming Pool Management, Swimming Pool Equipment & Supplies-Wholesale & Manufacturers",OH,False
Metropolitan Pools,http://www.metropools.com,(216) 741-9451,"Swimming Pool Repair & Service, Swimming Pool Management, Spas & Hot Tubs-Repair & Service",OH,False
Diver Joe,http://diverjoe.localsearch.com,(513) 512-3301,"Swimming Pool Repair & Service, Swimming Pool Management, Leak Detecting Service",OH,False
CPO Pool Service LLC,https://www.cpopoolservicellc.com,(937) 532-4345,"Swimming Pool Repair & Service, Swimming Pool Management",OH,False
All-American Pools,http://www.all-american-pools.com,(513) 522-7161,"Swimming Pool Repair & Service, Swimming Pool Equipment & Supplies, Swimming Pool Dealers",OH,False
Aqua Concepts Pools & Biliards,http://aquaconceptspoolsbiliards.localsearch.com,(330) 647-4873,"Swimming Pool Repair & Service, Swimming Pool Equipment & Supplies, Swimming Pool Dealers",OH,False
VIP Pool Service,http://www.vippools.us,(937) 439-2002,"Swimming Pool Repair & Service, Swimming Pool Dealers, Swimming Pool Equipment & Supplies",OH,False
Leslie's Pool Supplies,https://lesliespool.com/location/mentor-ohio-mentor-660.html,(440) 974-7128,"Swimming Pool Repair & Service, Swimming Pool Equipment & Supplies, Swimming Pool Dealers",OH,False
Ohio Pools & Spas,http://ohiopools.com,(440) 442-2775,"Swimming Pool Repair & Service, Spas & Hot Tubs, Sauna Equipment & Supplies",OH,False
Hotspring Spa & Pool,http://www.underwaterstuff.com,(740) 353-7727,"Swimming Pool Repair & Service, Swimming Pool Equipment & Supplies, Spas & Hot Tubs",OH,False
Daudelin Pool,http://www.daudelinpoolservices.com,(419) 385-2222,"Swimming Pool Repair & Service, Deck Builders, Swimming Pool Dealers",OH,False
Leslie's Pool Supplies,https://lesliespool.com/location/toledo-ohio-toledo-274.html,(419) 389-6300,"Swimming Pool Repair & Service, Swimming Pool Equipment & Supplies, Swimming Pool Dealers",OH,False
Sun Pools,http://sunpoolsoh.localsearch.com,(419) 422-1129,"Swimming Pool Repair & Service, Swimming Pool Dealers, Spas & Hot Tubs",OH,False
Leslie's Pool Supplies,https://lesliespool.com/location/cincinnati-ohio-western-hills-186.html,(513) 922-3373,"Swimming Pool Repair & Service, Swimming Pool Equipment & Supplies, Swimming Pool Dealers",OH,False
Crystal Clear Pools & More,http://yellowpages.com/fremont-oh/mip/swim-rite-pools-2641713,(419) 332-6494,"Swimming Pool Repair & Service, Swimming Pool Dealers, Swimming Pool Equipment & Supplies",OH,False
Coolspot Pools,N/A,(330) 673-7012,"Swimming Pool Repair & Service, Swimming Pool Dealers, Swimming Pool Equipment & Supplies",OH,False
Leslie's Pool Supplies,https://lesliespool.com/location/cincinnati-ohio-colerain-276.html,(513) 741-0711,"Swimming Pool Repair & Service, Swimming Pool Equipment & Supplies, Swimming Pool Dealers",OH,False
