name,website,phone,categories,state,moved
American Pool Management,http://www.americanpool.com/locations/pittsburgh-pool-services,(412) 781-5950,"Swimming Pool Repair & Service, Swimming Pool Management, Swimming Pool Covers & Enclosures",PA,False
Allegheny Pool Services Co.,http://www.alleghenypoolservices.com,(412) 651-1942,"Swimming Pool Repair & Service, Swimming Pool Management, Swimming Pool Dealers",PA,False
Prestigious Pools Of Central PA,http://www.prestigiouspool.com,(717) 984-2248,"Swimming Pool Repair & Service, Swimming Pool Management, Swimming Pool Equipment & Supplies-Wholesale & Manufacturers",PA,False
Kurt Custom Pools,http://www.kurtcustompools.com,(610) 703-1096,"Swimming Pool Repair & Service, Swimming Pool Management, Patio Builders",PA,False
Van Dorn Pools & Spas,http://www.vandornpools.com,(717) 235-5495,"Swimming Pool Repair & Service, Swimming Pool Management, Swimming Pool Construction",PA,False
Pool Sunsations,http://poolsunsations.localsearch.com,(724) 261-1608,"Swimming Pool Repair & Service, Swimming Pool Management, Swimming Pool Dealers",PA,False
Armbrust Pool Solutions,http://armbrustpoolsolutions.localsearch.com,(412) 856-8264,"Swimming Pool Repair & Service, Swimming Pool Management, Swimming Pool Dealers",PA,False
Mark's Pool Service,http://www.markspoolservice.com,(484) 866-0561,"Swimming Pool Repair & Service, Swimming Pool Management, Building Specialties",PA,False
"Coronado's Pool Plaster, Inc.",http://www.coronadospoolplaster.com,(215) 723-5885,"Swimming Pool Repair & Service, Swimming Pool Management, Sauna Equipment & Supplies",PA,False
Sun Valley Pool Service,http://sunvalley.com,(215) 657-4169,"Swimming Pool Repair & Service, Swimming Pool Management, Swimming Pool Equipment & Supplies",PA,False
My Pool Guy,http://mypoolguyllc.com,(484) 624-3420,"Swimming Pool Repair & Service, Swimming Pool Management, Swimming Pool Covers & Enclosures",PA,False
American Pool Management,http://americanpoolmanagement560533407.localsearch.com,(717) 390-0602,"Swimming Pool Repair & Service, Swimming Pool Management, Swimming Pool Designing & Consulting",PA,False
"AquaCare Pool and Spa Services, LLC",http://aquacarepoolandspaservicesllc.localsearch.com,(272) 318-9058,"Swimming Pool Repair & Service, Swimming Pool Management, Swimming Pool Equipment & Supplies",PA,False
Ocean Breeze Pool Services LLC,http://oceanbreezepoolservice.com,(484) 482-6873,"Swimming Pool Repair & Service, Swimming Pool Management",PA,False
North Shore Pools and Service,http://northshorepoolsandservice.localsearch.com,(724) 388-3246,"Swimming Pool Repair & Service, Swimming Pool Management, Swimming Pool Covers & Enclosures",PA,False
D&M AQUA TECHS,http://dmaquatechs.wordpress.com,(215) 303-4424,"Swimming Pool Repair & Service, Swimming Pool Management, Electric Equipment Repair & Service",PA,False
D & L Pool,http://swimdandlpools.com,(570) 270-2032,"Swimming Pool Repair & Service, Swimming Pool Management",PA,False
Bulldogs Landscaping Svcs Of Nepa,http://bulldogslandscapingsvcsofnepa.localsearch.com,(570) 677-6661,"Swimming Pool Management, Home Repair & Maintenance, Landscaping & Lawn Services",PA,False
Kelly Pools,http://kellypools.localsearch.com,(412) 417-4064,"Swimming Pool Management, Landscape Designers & Consultants, Swimming Pool Dealers",PA,False
Clean & Clear Pool Service,http://cleanclearpoolservicepa.localsearch.com,(267) 326-7143,"Swimming Pool Repair & Service, Swimming Pool Equipment & Supplies",PA,False
Tile Savers-Swimming Pool Tile Cleaning & Repair,http://www.tilesavers.net,(717) 258-0607,"Swimming Pool Repair & Service, Swimming Pool Equipment & Supplies, Swimming Pool Construction",PA,False
A & M Pool Service,N/A,(717) 502-6780,"Swimming Pool Repair & Service, Building Specialties, Swimming Pool Dealers",PA,False
Village Pools Incorporated,http://villagepoolsincorporated.localsearch.com,(724) 327-7665,"Swimming Pool Repair & Service, Swimming Pool Equipment & Supplies, Building Specialties",PA,False
