name,website,phone,categories,state,moved
Canyon Creek Pools Inc,http://www.canyoncreekpools.com,(210) 492-7946,"Swimming Pool Repair & Service, Swimming Pool Management, Swimming Pool Designing & Consulting",TX,False
Riviera Pools/ Duncanville,http://rivierapoolsduncanville.localsearch.com,(972) 296-7946,"Swimming Pool Repair & Service, Swimming Pool Management, Swimming Pool Dealers",TX,False
A & D Pools,http://adpools.localsearch.com,(281) 797-4618,"Swimming Pool Repair & Service, Swimming Pool Management, Swimming Pool Dealers",TX,False
Charlie's Pool Service,http://www.charliespoolservice.com,(214) 704-6391,"Swimming Pool Repair & Service, Swimming Pool Management, Swimming Pool Covers & Enclosures",TX,False
Absolute Pools,http://absolutepools472946580.localsearch.com,(210) 573-0871,"Swimming Pool Repair & Service, Swimming Pool Management, Pressure Cleaning Equipment & Supplies",TX,False
Sparklies Pool Cleaning,http://sparkliespoolcleaning.localsearch.com,(512) 507-7538,"Swimming Pool Repair & Service, Swimming Pool Management, Private Swimming Pools",TX,False
AQUA CLEAN POOL SERVICE,http://www.aquacleanpoolservice.com,(972) 527-2782,"Swimming Pool Repair & Service, Swimming Pool Management, Swimming Pool Equipment & Supplies",TX,False
Titan- Pool Cleaning,http://www.poolservicewoodlands.com/pool-cleaning-service-woodlands,(832) 496-3237,"Swimming Pool Repair & Service, Swimming Pool Management, Swimming Pool Equipment & Supplies",TX,False
Lee's Pool Cleaning & Supplies,http://leespoolcleaningsupplies.localsearch.com,(832) 770-1014,"Swimming Pool Repair & Service, Swimming Pool Management, Swimming Pool Equipment & Supplies",TX,False
Fischnar Pools,http://fischnarpools.localsearch.com,(210) 822-9894,"Swimming Pool Repair & Service, Swimming Pool Management, Swimming Pool Dealers",TX,False
The Pool Man,http://www.thepoolmanservice.com,(972) 365-8958,"Swimming Pool Repair & Service, Swimming Pool Management, Swimming Pool Dealers",TX,False
Joga Bonito Pools,http://jogabonitopools.localsearch.com,(832) 755-4428,"Swimming Pool Repair & Service, Swimming Pool Management, Swimming Pool Dealers",TX,False
Modern Pools & Service,http://www.modernvacations.com,(713) 464-5838,"Swimming Pool Repair & Service, Swimming Pool Management, Swimming Pool Equipment & Supplies",TX,False
Prestige Pool And Patio,http://www.prestigepp.com,(469) 644-7665,"Swimming Pool Repair & Service, Swimming Pool Management, Swimming Pool Dealers",TX,False
The Pool Police,http://thepoolpolicetx.localsearch.com,(512) 300-4136,"Swimming Pool Repair & Service, Swimming Pool Management, Swimming Pool Dealers",TX,False
Aquamatic Pool Services,http://www.aquamaticpoolservices.com,(832) 385-6170,"Swimming Pool Repair & Service, Swimming Pool Management, Swimming Pool Dealers",TX,False
Anthony Valchar Swimming Pool Repairs,http://anthonyvalcharswimmingpoolrepairs.localsearch.com,(713) 417-3022,"Swimming Pool Repair & Service, Swimming Pool Management, Swimming Pool Dealers",TX,False
Skytide pool services,http://skytidepoolservices.localsearch.com,(832) 726-2976,"Swimming Pool Repair & Service, Swimming Pool Management, Swimming Pool Dealers",TX,False
True Cost Pool Supplies,http://truecostpoolsupplies.com,(915) 581-2704,"Swimming Pool Repair & Service, Swimming Pool Management, Swimming Pool Dealers",TX,False
Texas ProLawn and Pool,http://texasprolawnandpool.localsearch.com,(903) 736-6209,"Swimming Pool Repair & Service, Swimming Pool Management, Swimming Pool Equipment & Supplies",TX,False
Crystal Clear Pool Supplies,http://mycrystalclearpool.com,(979) 849-9888,"Swimming Pool Repair & Service, Swimming Pool Management, Swimming Pool Dealers",TX,False
American Pool & Spa Service,https://www.certifiedpoolandspa.com,(432) 559-2044,"Swimming Pool Repair & Service, Swimming Pool Management, Swimming Pool Equipment & Supplies",TX,False
AAA Pool Service and Repair,http://aaapoolserviceandrepair.localsearch.com,(225) 456-3164,"Swimming Pool Repair & Service, Swimming Pool Management, Spas & Hot Tubs",TX,False
Lorenzo's Pool Service,https://lorenzospoolservice.com,(214) 475-1283,"Swimming Pool Repair & Service, Swimming Pool Management, Spas & Hot Tubs-Repair & Service",TX,False
Anjeli-Klean Pool Services,http://www.anjeli-klean.com,(682) 472-0858,"Swimming Pool Repair & Service, Swimming Pool Management, Swimming Pool Covers & Enclosures",TX,False
Commercial Swim Management,http://www.commercialswim.com,(512) 788-2772,"Swimming Pool Repair & Service, Swimming Pool Management, Swimming Pool Equipment & Supplies",TX,False
Outdoor Visions Pool and Spa,http://outdoorvisionspoolandspa.localsearch.com,(817) 888-0703,"Swimming Pool Repair & Service, Swimming Pool Management, Swimming Pool Designing & Consulting",TX,False
Blue Dolphin Pools,http://bluedolphinpoolstx.localsearch.com,(281) 619-6365,"Swimming Pool Repair & Service, Swimming Pool Management, Swimming Pool Equipment & Supplies",TX,False
Express Water Care,http://expresswatercare.localsearch.com,(214) 295-5973,"Swimming Pool Repair & Service, Swimming Pool Management, Ponds & Pond Supplies",TX,False
Westview Pools,http://westviewpoolstx.localsearch.com,(210) 370-7080,"Swimming Pool Repair & Service, Swimming Pool Management, Swimming Pool Designing & Consulting",TX,False
Yard Orr Pool Service,http://yardorrpoolservice.localsearch.com,(817) 333-7899,"Swimming Pool Repair & Service, Swimming Pool Management, Landscaping & Lawn Services",TX,False
A-Grisham Pool Service,http://agrishampoolservice.localsearch.com,(281) 954-5909,"Swimming Pool Repair & Service, Swimming Pool Management, Swimming Pool Designing & Consulting",TX,False
Gator's Pool Service,http://gatorspoolservice.localsearch.com,(214) 491-7537,"Swimming Pool Repair & Service, Swimming Pool Management, Swimming Pool Equipment & Supplies",TX,False
Green & Blue Services,http://greenblueservices.localsearch.com,(817) 692-1806,"Swimming Pool Repair & Service, Swimming Pool Management, Lawn Maintenance",TX,False
Westfall Pools Construction & Consulting,http://westfallpoolsconstructionconsultingtx.localsearch.com,(855) 435-7758,"Swimming Pool Repair & Service, Swimming Pool Management, Swimming Pool Designing & Consulting",TX,False
INFINITY POOL SERVICES,http://infinitypoolservices.com,(469) 682-9727,"Swimming Pool Repair & Service, Swimming Pool Management, Private Swimming Pools",TX,False
